id,price
193573,874.63
193574,2157.1
193575,2050.05
193576,892.835
193577,4736.91
193578,762.35
193579,8469.7
193580,2462.72
193581,10343.39
193582,1728.95
193583,3653.82
193584,822.7715
193585,4703.56
193586,1625.47
193587,582.5
193588,1661.35
193589,1057.06
193590,3577.83
193591,5966.65
193592,1831.18
193593,566.92
193594,650.32
193595,5951.06
193596,4326.94
193597,2890.24
193598,588.32
193599,2125.31
193600,2347.25
193601,2177.66
193602,629.41
193603,1502.78
193604,760.42
193605,5228.09
193606,975.79
193607,446.87
193608,1540.93
193609,3185.77
193610,4951.34
193611,8891.52
193612,4873.47
193613,618.95
193614,1082.38
193615,1704.12
193616,1684.55
193617,944.75
193618,3736.44
193619,2357.7
193620,9418.87
193621,4576.77
193622,788.58
193623,1696.95
193624,4307.4
193625,2856.98
193626,3720.95
193627,3319.3
193628,1305.71
193629,1233.22
193630,2137.46
193631,8775.92
193632,744.68
193633,3713.07
193634,530.32
193635,3856.97
193636,2035.15
193637,1470.72
193638,574.02
193639,5768.27
193640,5667.77
193641,10608.72
193642,4020.04
193643,3220.36
193644,3715.07
193645,1392.32
193646,680.25
193647,3505.54
193648,1306.87
193649,4398.02
193650,987.97
193651,1914.3
193652,1692.93
193653,518.07
193654,5527.96
193655,1786.81
193656,3057.45
193657,2949.73
193658,3740.03
193659,791.66
193660,908.94
193661,2723.86
193662,4341.68
193663,485.23
193664,4124.67
193665,1563.32
193666,5220.91
193667,2585.66
193668,1717.15
193669,669.88
193670,4399.22
193671,3757.69
193672,652.87
193673,897.3499999999999
193674,1255.7
193675,882.39
193676,997.72
193677,10052.59
193678,1014.23
193679,7893.53
193680,4393.7
193681,2892.28
193682,1587.4
193683,1093.54
193684,2107.69
193685,1154.42
193686,4435.3
193687,6595.88
193688,2380.91
193689,10054.14
193690,3533.97
193691,879.8
193692,989.9026666666667
193693,1915.35
193694,634.3
193695,3922.57
193696,663.17
193697,7920.88
193698,719.99
193699,1853.69
193700,957.81
193701,5920.93
193702,11089.94
193703,1272.87
193704,736.68
193705,2124.29
193706,6441.25
193707,1149.3
193708,3125.69
193709,672.9
193710,508.21
193711,8969.17
193712,2672.61
193713,10209.85
193714,722.55
193715,2016.29
193716,4140.07
193717,10745.22
193718,882.37
193719,1741.38
193720,4038.365
193721,1365.11
193722,695.93
193723,10747.75
193724,903.87
193725,1480.41
193726,1435.09
193727,3870.25
193728,1715.49
193729,2288.0
193730,842.51
193731,2647.8
193732,2003.97
193733,446.94
193734,1357.24
193735,4297.11
193736,4158.82
193737,2329.06
193738,2108.95
193739,616.4133333333334
193740,1376.56
193741,2829.98
193742,2391.84
193743,847.1
193744,2835.74
193745,3483.37
193746,1387.3
193747,1679.145
193748,1314.96
193749,4696.45
193750,2239.8
193751,1002.57
193752,7318.45
193753,1096.84
193754,3685.88
193755,5092.28
193756,653.0
193757,1174.54
193758,2300.465
193759,3921.93
193760,3669.87
193761,577.37
193762,4741.64
193763,716.24
193764,833.87
193765,10866.21
193766,885.51
193767,4489.66
193768,690.73
193769,747.92
193770,894.5416666666665
193771,806.1239999999999
193772,2057.27
193773,967.01
193774,4367.43
193775,708.11
193776,9411.97
193777,2683.4366666666665
193778,7180.07
193779,2843.52
193780,2199.24
193781,3362.59
193782,620.05
193783,586.4
193784,2106.11
193785,4272.94
193786,4733.63
193787,11322.92
193788,676.89
193789,6902.07
193790,1088.56
193791,463.94
193792,2175.35
193793,3450.44
193794,6340.67
193795,4579.68
193796,10487.9
193797,2019.09
193798,2112.05
193799,957.46
193800,2360.18
193801,2292.46
193802,2620.71
193803,7273.16
193804,759.97
193805,9385.32
193806,1007.83
193807,2527.94
193808,3819.16
